
n = 1:
   sl2(8) =   4.1834766 3
   sl2(9) =   4.1834766 3
   sl2(10) =   4.1834766 3
   sl3(1) =  -2.9306454 3
   sl3(2) =  -2.9306454 3
   sl3(3) =  -2.9306454 3
   sl3(4) =  -2.9306454 3
   sl3(5) =  -2.9306454 3
   sl3(6) =  -2.9306454 3
   sl3(7) =  -2.9306454 3
   sl3(8) =  -2.9306454 3
   sl3(9) =  -2.9306454 3
   sl3(10) =  -2.9306454 3
   sm1(1) =  -2.4438482 3
   sm1(2) =  -2.4438482 3
   sm1(3) =  -2.4438482 3
   sm1(4) =  -2.4438482 3
   sm1(5) =  -2.4438482 3
   sm1(6) =  -2.4438482 3
   sm1(7) =  -2.4438482 3
   sm1(8) =  -2.4438482 3
   sm1(9) =  -2.4438482 3
   sm1(10) =  -2.4438482 3
   sm1(11) =  -2.4438482 3
   sm1(12) =  -2.4438482 3
   sm1(13) =  -2.4438482 3
   sm1(14) =  -2.4438482 3
   sm1(15) =  -2.4438482 3
   sm1(16) =  -2.4438482 3
   sm1(17) =  -2.4438482 3
   sm1(18) =  -2.4438482 3
   sm1(19) =  -2.4438482 3
   sm1(20) =  -2.4438482 3
   sm2(1) =   3.1712216 3
   sm2(2) =   3.1712216 3
   sm2(3) =   3.1712216 3
   sm2(4) =   3.1712216 3
   sm2(5) =   3.1712216 3
   sm2(6) =   3.1712216 3
   sm2(7) =   3.1712216 3
   sm2(8) =   3.1712216 3
   sm2(9) =   3.1712216 3
   sm2(10) =   3.1712216 3
   sh2(1) =   0.9714422 3
   sh2(2) =   0.9714422 3
   sh2(3) =   0.9714422 3
   sh2(4) =   0.9714422 3
   sh2(5) =   0.9714422 3
   sh2(6) =   0.9714422 3
   sh2(7) =   0.9714422 3
   sh2(8) =   0.9714422 3
   sh3(1) =   0.0261691 3
   sh3(2) =   0.0261691 3
   sh3(3) =   0.0261691 3
   sh3(4) =   0.0261691 3
   sh3(5) =   0.0261691 3
   sh3(6) =   0.0261691 3
   sh3(7) =   0.0261691 3
   sh3(8) =   0.0261691 3
   sh4(1) =  -1.3228609 3
   sh4(2) =  -1.3228609 3
   sh4(3) =  -1.3228609 3
   sh4(4) =  -1.3228609 3
   sh4(5) =  -1.3228609 3
   sh4(6) =  -1.3228609 3
   sh4(7) =  -1.3228609 3
   sh4(8) =  -1.3228609 3
   om1(1) = 623.7788865 5
   om1(2) = 623.7788865 5
   om1(3) = 623.7788865 5
   om1(4) = 623.7788865 5
   om1(5) = 623.7788865 5
   om1(6) = 623.7788865 5
   om1(7) = 623.7788865 5
   om1(8) = 623.7788865 5
   om1(9) = 623.7788865 5
   om1(10) = 623.7788865 5
   om2(1) = -959.9866133 5
   om2(2) = -959.9866133 5
   om2(3) = -959.9866133 5
   om2(4) = -959.9866133 5
   om2(5) = -959.9866133 5
   om2(6) = -959.9866133 5
   om2(7) = -959.9866133 5
   om2(8) = -959.9866133 5
