
n = 1:
      ls3(1) =  -0.2071565 3
      ls3(2) =  -0.2071565 3
      sm1(1) =  10.8276695 3
      sm1(2) =  10.8276695 3
      sm1(3) =  10.8276695 3
      sm1(4) =  10.8276695 3
     sm2h(1) = -11.2520497 3
     sm2h(2) = -11.2520497 3
     sm2h(3) = -11.2520497 3
     sm2h(4) = -11.2520497 3

n = 15:
      ss1(1) =   5.2801448 3
      ss1(2) =   5.2801448 3
      ss2(1) =  -0.4000057 3
      ss2(2) =  -0.4000057 3
      ss3(1) =  -3.2564796 3
      ss3(2) =  -3.2564796 3
      ls1(1) =  -3.8652288 3
      ls1(2) =  -3.8652288 3
      ls2(1) =   7.3094086 3
      ls2(2) =   7.3094086 3
      ls3(1) =  -0.2450799 3
      ls3(2) =  -0.2450799 3
      sm1(1) =  10.8276696 3
      sm1(2) =  10.8276696 3
      sm1(3) =  10.8276696 3
      sm1(4) =  10.8276696 3
     sm2h(1) = -11.2520498 3
     sm2h(2) = -11.2520498 3
     sm2h(3) = -11.2520498 3
     sm2h(4) = -11.2520498 3

n = 16:
      ss1(1) =   5.3148332 3
      ss1(2) =   5.3148332 3
      ss2(1) =  -0.4016526 3
      ss2(2) =  -0.4016526 3
      ss3(1) =  -3.3141591 3
      ss3(2) =  -3.3141591 3
      ls1(1) =  -3.8742502 3
      ls1(2) =  -3.8742502 3
      ls2(1) =   7.3302239 3
      ls2(2) =   7.3302239 3
      ls3(1) =  -0.2797670 3
      ls3(2) =  -0.2797670 3
      sm1(1) =  10.8276696 3
      sm1(2) =  10.8276696 3
      sm1(3) =  10.8276696 3
      sm1(4) =  10.8276696 3
     sm2h(1) = -11.2520499 3
     sm2h(2) = -11.2520499 3
     sm2h(3) = -11.2520499 3
     sm2h(4) = -11.2520499 3

n = 17:
      ss1(1) =   5.3460128 3
      ss1(2) =   5.3460128 3
      ss2(1) =  -0.4019832 3
      ss2(2) =  -0.4019832 3
      ss3(1) =  -3.3683623 3
      ss3(2) =  -3.3683623 3
      ls1(1) =  -3.8823624 3
      ls1(2) =  -3.8823624 3
      ls2(1) =   7.3484400 3
      ls2(2) =   7.3484400 3
      ls3(1) =  -0.3116707 3
      ls3(2) =  -0.3116707 3
      sm1(1) =  10.8276697 3
      sm1(2) =  10.8276697 3
      sm1(3) =  10.8276697 3
      sm1(4) =  10.8276697 3
     sm2h(1) = -11.2520501 3
     sm2h(2) = -11.2520501 3
     sm2h(3) = -11.2520501 3
     sm2h(4) = -11.2520501 3

n = 18:
      ss1(1) =   5.3741418 3
      ss1(2) =   5.3741418 3
      ss2(1) =  -0.4014636 3
      ss2(2) =  -0.4014636 3
      ss3(1) =  -3.4188702 3
      ss3(2) =  -3.4188702 3
      ls1(1) =  -3.8893731 3
      ls1(2) =  -3.8893731 3
      ls2(1) =   7.3642765 3
      ls2(2) =   7.3642765 3
      ls3(1) =  -0.3410268 3
      ls3(2) =  -0.3410268 3
      sm1(1) =  10.8276697 3
      sm1(2) =  10.8276697 3
      sm1(3) =  10.8276697 3
      sm1(4) =  10.8276697 3
     sm2h(1) = -11.2520502 3
     sm2h(2) = -11.2520502 3
     sm2h(3) = -11.2520502 3
     sm2h(4) = -11.2520502 3

n = 19:
      ss1(1) =   5.3995345 3
      ss1(2) =   5.3995345 3
      ss2(1) =  -0.4004206 3
      ss2(2) =  -0.4004206 3
      ss3(1) =  -3.4655548 3
      ss3(2) =  -3.4655548 3
      ls1(1) =  -3.8952675 3
      ls1(2) =  -3.8952675 3
      ls2(1) =   7.3779822 3
      ls2(2) =   7.3779822 3
      ls3(1) =  -0.3679722 3
      ls3(2) =  -0.3679722 3
      sm1(1) =  10.8276698 3
      sm1(2) =  10.8276698 3
      sm1(3) =  10.8276698 3
      sm1(4) =  10.8276698 3
     sm2h(1) = -11.2520503 3
     sm2h(2) = -11.2520503 3
     sm2h(3) = -11.2520503 3
     sm2h(4) = -11.2520503 3

n = 20:
      ss1(1) =   5.4224313 3
      ss1(2) =   5.4224313 3
      ss2(1) =  -0.3990810 3
      ss2(2) =  -0.3990810 3
      ss3(1) =  -3.5083878 3
      ss3(2) =  -3.5083878 3
      ls1(1) =  -3.9001250 3
      ls1(2) =  -3.9001250 3
      ls2(1) =   7.3898087 3
      ls2(2) =   7.3898087 3
      ls3(1) =  -0.3926086 3
      ls3(2) =  -0.3926086 3
      sm1(1) =  10.8276698 3
      sm1(2) =  10.8276698 3
      sm1(3) =  10.8276698 3
      sm1(4) =  10.8276698 3
     sm2h(1) = -11.2520504 3
