
n = 1:
      sh4(4) =  -1.3185265 3
      sh4(5) =  -1.3185265 3
      sh4(6) =  -1.3185265 3
      sh4(7) =  -1.3185265 3
      sh4(8) =  -1.3185265 3
      sh4(9) =  -1.3185265 3
      sh4(10) =  -1.3185265 3
     sm1a(1) =  -2.3411067 3
     sm1a(2) =  -2.3411067 3
     sm1a(3) =  -2.3411067 3
     sm1a(4) =  -2.3411067 3
     sm1a(5) =  -2.3411067 3
     sm1a(6) =  -2.3411067 3
     sm1a(7) =  -2.3411067 3
     sm1a(8) =  -2.3411067 3
     sm1a(9) =  -2.3411067 3
     sm1a(10) =  -2.3411067 3
     sm1b(1) =  -2.5974064 3
     sm1b(2) =  -2.5974064 3
     sm1b(3) =  -2.5974064 3
     sm1b(4) =  -2.5974064 3
     sm1b(5) =  -2.5974064 3
     sm1b(6) =  -2.5974064 3
     sm1b(7) =  -2.5974064 3
     sm1b(8) =  -2.5974064 3
     sm1b(9) =  -2.5974064 3
     sm1b(10) =  -2.5974064 3
      sm2(1) =   3.5000000 3
      sm2(2) =   3.5000000 3
      sm2(3) =   3.5000000 3
      sm2(4) =   3.5000000 3
      sm2(5) =   3.5000000 3
      sm2(6) =   3.5000000 3
      sm2(7) =   3.5000000 3
      sm2(8) =   3.5000000 3
      sm2(9) =   3.5000000 3
      sm2(10) =   3.5000000 3
      sm3(1) =   0.1173154 3
      sm3(2) =   0.1173154 3
      sm3(3) =   0.1173154 3
      sm3(4) =   0.1173154 3
      sm3(5) =   0.1173154 3
      sm3(6) =   0.1173154 3
      sm3(7) =   0.1173154 3
      sm3(8) =   0.1173154 3
      sm3(9) =   0.1173154 3
      sm3(10) =   0.1173154 3
      sm3(11) =   0.1173154 3
      sm3(12) =   0.1173154 3
      sm3(13) =   0.1173154 3
      sm3(14) =   0.1173154 3
      sm3(15) =   0.1173154 3
      sm3(16) =   0.1173154 3
      sm3(17) =   0.1173154 3
      sm3(18) =   0.1173154 3
      sm3(19) =   0.1173154 3
      sm3(20) =   0.1173154 3
      sm3(1) =   1.6625434 4
      sm3(2) =   1.6625434 4
      sm3(3) =   1.6625434 4
      sm3(4) =   1.6625434 4
      sm3(5) =   1.6625434 4
      sm3(6) =   1.6625434 4
      sm3(7) =   1.6625434 4
      sm3(8) =   1.6625434 4
      sm3(9) =   1.6625434 4
      sm3(10) =   1.6625434 4
      sm3(11) =   1.6625434 4
      sm3(12) =   1.6625434 4
      sm3(13) =   1.6625434 4
      sm3(14) =   1.6625434 4
      sm3(15) =   1.6625434 4
      sm3(16) =   1.6625434 4
      sm3(17) =   1.6625434 4
      sm3(18) =   1.6625434 4
      sm3(19) =   1.6625434 4
      sm3(20) =   1.6625434 4
      sm3(1) = -260.4136930 5
      sm3(2) = -260.4136930 5
      sm3(3) = -260.4136930 5
      sm3(4) = -260.4136930 5
      sm3(5) = -260.4136930 5
      sm3(6) = -260.4136930 5
      sm3(7) = -260.4136930 5
      sm3(8) = -260.4136930 5
      sm3(9) = -260.4136930 5
      sm3(10) = -260.4136930 5
      sm3(11) = -260.4136930 5
      sm3(12) = -260.4136930 5
      sm3(13) = -260.4136930 5
      sm3(14) = -260.4136930 5
      sm3(15) = -260.4136930 5
      sm3(16) = -260.4136930 5
      sm3(17) = -260.4136930 5
      sm3(18) = -260.4136930 5
      sm3(19) = -260.4136930 5
      sm3(20) = -260.4136930 5

n = 4:
      sl1(1) =  -1.0001464 3
      sl1(2) =  -1.0001464 3
      sl1(3) =  -1.0001464 3
      sl1(4) =  -1.0001464 3
      sl1(5) =  -1.0001464 3
      sl1(6) =  -1.0001464 3
      sl1(7) =  -1.0001464 3
      sl1(8) =  -1.0001464 3
      sl1(9) =  -1.0001464 3
      sl1(10) =  -1.0001464 3
      sl2(1) =   3.2012109 3
      sl2(2) =   3.2012109 3
      sl2(3) =   3.2012109 3
      sl2(4) =   3.2012109 3
      sl2(5) =   3.2012109 3
      sl2(6) =   3.2012109 3
      sl2(7) =   3.2012109 3
      sl2(8) =   3.2012109 3
      sl2(9) =   3.2012109 3
      sl2(10) =   3.2012109 3
      sl3(1) =  -3.3179147 3
      sl3(2) =  -3.3179147 3
      sl3(3) =  -3.3179147 3
      sl3(4) =  -3.3179147 3
      sl3(5) =  -3.3179147 3
      sl3(6) =  -3.3179147 3
      sl3(7) =  -3.3179147 3
      sl3(8) =  -3.3179147 3
