# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.20667 1.07867
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
  26  1.0395207484706008e-05  4.2129559825726520e-04  3.9195181547133379e-03  7.8818608538350958e-04  0.0000000000000000e+00 -1.9290051470427835e-01
  27  5.5208454061128457e-04  5.9026733339104080e-04  4.0157554980310853e-03 -1.1911459179359655e-03  0.0000000000000000e+00 -1.8259825083372072e-01
  28  3.7385668288182470e-04  2.2981843474819945e-04  2.9909870682371881e-03 -2.8481906483329863e-03  0.0000000000000000e+00 -1.9646434720763228e-01
  29 -3.1808578306770835e-04 -1.3716623141053373e-04  1.3083447714274065e-03 -4.0321526138279726e-03  0.0000000000000000e+00 -2.2687253034352003e-01
  30 -7.9047522196155906e-04 -2.2593242238084455e-04 -4.1643211098536559e-04 -4.4016127523515422e-03  0.0000000000000000e+00 -2.5623283816789033e-01
  31 -5.5393201270264453e-04 -1.2144977366311107e-04 -2.0628041358969622e-03 -3.6574921395219001e-03  0.0000000000000000e+00 -2.6668072812480209e-01
  32  7.6713764048915508e-05 -3.0932682137721899e-05 -3.5086420259440531e-03 -2.0546386873991798e-03  0.0000000000000000e+00 -2.5407137474611224e-01
  33  3.6892946020580168e-04  3.1027170216312785e-05 -4.1686812389057594e-03 -5.9545548924352065e-05  0.0000000000000000e+00 -2.3550823850030916e-01
  34  1.1025453507981858e-04  2.6314176157859489e-04 -3.6832743483025334e-03  1.9420611397466948e-03  0.0000000000000000e+00 -2.3262306998349322e-01
  35 -1.9883613018169320e-04  4.7277504373182728e-04 -2.3806549698017843e-03  3.5219975975287698e-03  0.0000000000000000e+00 -2.5276305706017138e-01
  36 -2.5083066515319810e-04  1.9303978664032763e-04 -6.6602545214388569e-04  4.2911341179797764e-03  0.0000000000000000e+00 -2.8512932593521217e-01
  37 -2.8662130891016235e-04 -4.1063663111813944e-04  1.1896598074271863e-03  4.1440417053796672e-03  0.0000000000000000e+00 -3.0944175326483192e-01
  38 -3.6342546530860633e-04 -5.9238497909559057e-04  2.8020505059401565e-03  3.0846294812727601e-03  0.0000000000000000e+00 -3.0939978139930546e-01
  39 -2.2419965841347778e-04 -7.0298982615941058e-05  3.8311905183910206e-03  1.2436628637970491e-03  0.0000000000000000e+00 -2.9065686805297547e-01
  40  1.2876539179645786e-04  6.0169481556342349e-04  4.0436759181309489e-03 -8.5327703273132920e-04  0.0000000000000000e+00 -2.7587930370574476e-01
  41  3.8158745058082001e-04  6.9663481764222336e-04  3.2880954576114969e-03 -2.6072377340236141e-03  0.0000000000000000e+00 -2.8313491941578867e-01
  42  1.7009485797950971e-04  9.7169888275430334e-05  1.7057846815022716e-03 -3.7847507624735707e-03  0.0000000000000000e+00 -3.1229593530276267e-01
  43 -4.6857002338073384e-04 -5.0452626456663622e-04 -1.3853344131334382e-04 -4.3149882212846664e-03  0.0000000000000000e+00 -3.4424473900309338e-01
  44 -8.4487469102436958e-04 -4.5819853596976872e-04 -1.7708758018558453e-03 -3.8842931486550779e-03  0.0000000000000000e+00 -3.5911581161391248e-01
  45 -4.0191233692038432e-04  7.3865882571249846e-05 -3.1605555219716085e-03 -2.4120938847926885e-03  0.0000000000000000e+00 -3.5073849308240462e-01
  46  3.6498605952741536e-04  4.0557120943800125e-04 -4.0660500466466482e-03 -4.4458875049849678e-04  0.0000000000000000e+00 -3.3137304674811441e-01
  47  5.4293750957021172e-04  2.9129450854183109e-04 -3.9098045028129521e-03  1.4992926686993001e-03  0.0000000000000000e+00 -3.2560409240293514e-01
  48  1.6997416421210116e-05  1.2183958969152609e-04 -2.6834529147723228e-03  3.1611802249154738e-03  0.0000000000000000e+00 -3.4241707132154453e-01
  49 -5.3950212694339197e-04  5.4279610070313542e-05 -1.0147169752483455e-03  4.2362068197932508e-03  0.0000000000000000e+00 -3.7368606924946141e-01
  50 -5.9814847799137473e-04 -8.0297765689966327e-05  7.2267913508800659e-04  4.3336212590854035e-03  0.0000000000000000e+00 -4.0081078393136471e-01
  51 -2.5065574615096243e-04 -2.6375991544121656e-04  2.4351525744840869e-03  3.3960269776430034e-03  0.0000000000000000e+00 -4.0662436422505255e-01
  52  8.1370573838227223e-05 -2.5395287643112521e-04  3.7437871519538325e-03  1.7065148545150979e-03  0.0000000000000000e+00 -3.9079035305678506e-01
  53  1.2216994985245362e-04  1.0530171358060243e-04  4.1253973307570947e-03 -3.6316700234086379e-04  0.0000000000000000e+00 -3.7293350154815347e-01
