
n = 1:
      sm3(3) =  -1.8745593 4
      sm3(4) =  -1.8745593 4
      sm3(1) =   3.4240488 5
      sm3(2) =   3.4240488 5
      sm3(3) =   3.4240488 5
      sm3(4) =   3.4240488 5

n = 18:
      sl1(1) =  -1.7591854 3
      sl1(2) =  -1.7591854 3
      sl2(1) =   2.9184503 3
      sl2(2) =   2.9184503 3
      sl3(1) =  -2.6739541 3
      sl3(2) =  -2.6739541 3
      sh1(1) =   3.4448349 3
      sh1(2) =   3.4448349 3
      sh3(1) =  -1.4816801 3
      sh3(2) =  -1.4816801 3
      sh4(1) =  -1.0066846 3
      sh4(2) =  -1.0066846 3
     sm1a(1) =  -1.5519569 3
     sm1a(2) =  -1.5519569 3
     sm1b(1) =  -3.1093507 3
     sm1b(2) =  -3.1093507 3
      sm2(1) =   3.4770473 3
      sm2(2) =   3.4770473 3
      sm3(1) =  -0.0571176 3
      sm3(2) =  -0.0571176 3
      sm3(3) =  -0.0571176 3
      sm3(4) =  -0.0571176 3
      sm3(1) =  -2.8130137 4
      sm3(2) =  -2.8130137 4
      sm3(3) =  -2.8130137 4
      sm3(4) =  -2.8130137 4
      sm3(1) =   3.7769228 5
      sm3(2) =   3.7769228 5
      sm3(3) =   3.7769228 5
      sm3(4) =   3.7769228 5

n = 19:
      sl1(1) =  -2.2814298 3
      sl1(2) =  -2.2814298 3
      sl2(1) =   3.0929152 3
      sl2(2) =   3.0929152 3
      sl3(1) =  -2.1906384 3
      sl3(2) =  -2.1906384 3
      sh1(1) =   3.2626056 3
      sh1(2) =   3.2626056 3
      sh3(1) =  -1.3934204 3
      sh3(2) =  -1.3934204 3
      sh4(1) =  -1.1565064 3
      sh4(2) =  -1.1565064 3
     sm1a(1) =  -1.4213597 3
     sm1a(2) =  -1.4213597 3
     sm1b(1) =  -3.2265455 3
     sm1b(2) =  -3.2265455 3
      sm2(1) =   3.4839331 3
      sm2(2) =   3.4839331 3
      sm3(1) =  -0.0699837 3
      sm3(2) =  -0.0699837 3
      sm3(3) =  -0.0699837 3
      sm3(4) =  -0.0699837 3
      sm3(1) =  -2.5682019 4
      sm3(2) =  -2.5682019 4
      sm3(3) =  -2.5682019 4
      sm3(4) =  -2.5682019 4
      sm3(1) =   3.3860214 5
      sm3(2) =   3.3860214 5
      sm3(3) =   3.3860214 5
      sm3(4) =   3.3860214 5

n = 20:
      sl1(1) =  -2.6470008 3
      sl1(2) =  -2.6470008 3
      sl2(1) =   3.2150406 3
      sl2(2) =   3.2150406 3
      sl3(1) =  -2.2529291 3
      sl3(2) =  -2.2529291 3
      sh1(1) =   3.3338239 3
      sh1(2) =   3.3338239 3
      sh3(1) =  -1.5324340 3
      sh3(2) =  -1.5324340 3
      sh4(1) =  -0.9344540 3
      sh4(2) =  -0.9344540 3
     sm1a(1) =  -1.4586773 3
     sm1a(2) =  -1.4586773 3
     sm1b(1) =  -3.2128247 3
     sm1b(2) =  -3.2128247 3
      sm2(1) =   3.4887532 3
      sm2(2) =   3.4887532 3
      sm3(1) =  -0.0576005 3
      sm3(2) =  -0.0576005 3
      sm3(3) =  -0.0576005 3
      sm3(4) =  -0.0576005 3
      sm3(1) =  -1.4804384 4
      sm3(2) =  -1.4804384 4
      sm3(3) =  -1.4804384 4
      sm3(4) =  -1.4804384 4
      sm3(1) =   2.9154856 5
      sm3(2) =   2.9154856 5
      sm3(3) =   2.9154856 5
      sm3(4) =   2.9154856 5

n = 21:
      sl1(1) =  -1.8241813 3
      sl1(2) =  -1.8241813 3
      sl2(1) =   3.0929031 3
      sl2(2) =   3.0929031 3
      sl3(1) =  -2.6270504 3
      sl3(2) =  -2.6270504 3
      sh1(1) =   3.3836767 3
      sh1(2) =   3.3836767 3
      sh3(1) =  -1.5174170 3
      sh3(2) =  -1.5174170 3
      sh4(1) =  -0.9912207 3
      sh4(2) =  -0.9912207 3
     sm1a(1) =  -1.6229102 3
     sm1a(2) =  -1.6229102 3
     sm1b(1) =  -3.1004457 3
     sm1b(2) =  -3.1004457 3
      sm2(1) =   3.4921272 3
      sm2(2) =   3.4921272 3
      sm3(1) =  -0.0260224 3
      sm3(2) =  -0.0260224 3
      sm3(3) =  -0.0260224 3
      sm3(4) =  -0.0260224 3
      sm3(1) =  -1.8318881 4
      sm3(2) =  -1.8318881 4
      sm3(3) =  -1.8318881 4
