# Tracking with TRACY# (Floquet space)
#
#  1   512 1.0E+00 1.0E+00 0.0E+00 0.0E+00 2.67533 1.34800
#    N     x^          px^          y^          py^          delta          cdt
#                                                                   [%]           [mm]
#
  94  1.3271617549238295e-04 -2.4642282240349713e-04 -7.5438397802942423e-04  1.8316084742570117e-03  0.0000000000000000e+00 -8.4969100903575442e-02
  95  3.1325364288028735e-04  2.4295088544638280e-05  1.9106842076235663e-03 -5.7314695511955210e-04  0.0000000000000000e+00 -8.7513062002212080e-02
  96 -2.7882944045856264e-06  2.4930395219804836e-04 -1.6579843598383431e-03 -1.2296823951255126e-03  0.0000000000000000e+00 -9.2638432622246150e-02
  97  1.0342427270047780e-04 -2.9788569676567181e-04 -2.0809497994476870e-04  1.9357337191940867e-03  0.0000000000000000e+00 -8.9483001081154728e-02
  98  4.2399092014154701e-04  1.3131908711680408e-06  1.7396173994029792e-03 -1.0572280721757278e-03  0.0000000000000000e+00 -8.9712682101861091e-02
  99 -7.3688239361495661e-05  3.2229685941992213e-04 -1.8924977552538576e-03 -7.8683323335009339e-04  0.0000000000000000e+00 -9.3808293346156507e-02
 100  6.7061007824776838e-05 -3.6706949638720020e-04  3.4168061665905316e-04  1.9178046213059725e-03  0.0000000000000000e+00 -9.4623522371671737e-02
 101  5.3611731585659274e-04 -1.4318634254373486e-05  1.4392898131572892e-03 -1.4441667708333522e-03  0.0000000000000000e+00 -9.2494292659722269e-02
 102 -1.2569824421776338e-04  3.8313365205171668e-04 -1.9745115660349806e-03 -2.7493252157376473e-04  0.0000000000000000e+00 -9.4433777247093675e-02
 103  1.6686091009535421e-05 -4.0916928964370884e-04  8.5399996739247931e-04  1.7620735832063956e-03  0.0000000000000000e+00 -9.9683549578040626e-02
 104  6.0453569858424808e-04 -3.6492552853554754e-05  1.0027283653938368e-03 -1.7113658782864794e-03  0.0000000000000000e+00 -9.5722838958053613e-02
 105 -1.1277413754777500e-04  4.2462846106746240e-04 -1.9163720643804842e-03  2.7348819020294786e-04  0.0000000000000000e+00 -9.5463843482508109e-02
 106 -6.4865875571633666e-05 -3.9482093986669043e-04  1.2956469023423058e-03  1.4591611947043371e-03  0.0000000000000000e+00 -1.0399893897522489e-01
 107  6.1667924413368069e-04 -8.1615527968985653e-05  4.5589266469031202e-04 -1.8545747826266131e-03  0.0000000000000000e+00 -9.9152046200943603e-02
 108 -2.0985655963700113e-05  4.4949827156093557e-04 -1.7385142369799299e-03  8.1093238419685726e-04  0.0000000000000000e+00 -9.7656024205958938e-02
 109 -1.7147669723822936e-04 -3.2749619308484069e-04  1.6396300859548218e-03  1.0265343596728264e-03  0.0000000000000000e+00 -1.0706520700773442e-01
 110  5.8613948410398168e-04 -1.5037893789449780e-04 -1.4181637769128050e-04 -1.8815415085589194e-03  0.0000000000000000e+00 -1.0273398443271199e-01
 111  1.1606551007438276e-04  4.5267955857671835e-04 -1.4512732423144039e-03  1.2813654937564223e-03  0.0000000000000000e+00 -1.0107102191612610e-01
 112 -2.6357186272271693e-04 -2.2996175727058905e-04  1.8622220359032643e-03  5.0357467661891965e-04  0.0000000000000000e+00 -1.0853204224255866e-01
 113  5.2077128078610862e-04 -2.2361199511244578e-04 -7.1593049017988240e-04 -1.7883299270872199e-03  0.0000000000000000e+00 -1.0649542023413730e-01
 114  2.4737387697600083e-04  4.2078083613822744e-04 -1.0541405075288124e-03  1.6333259422946932e-03  0.0000000000000000e+00 -1.0521816530509673e-01
 115 -2.9421608507032435e-04 -1.2019209181826702e-04  1.9414885520450240e-03 -6.1881794221725874e-05  0.0000000000000000e+00 -1.0868517922843988e-01
 116  4.1215846151301734e-04 -2.8074383590591238e-04 -1.2017600616488139e-03 -1.5562848055952097e-03  0.0000000000000000e+00 -1.1033183439775790e-01
 117  3.4520356184716903e-04  3.4937579917719818e-04 -5.5353910477529470e-04  1.8375994362068533e-03  0.0000000000000000e+00 -1.0959237978713948e-01
 118 -2.4845635022576699e-04 -4.2358110162734802e-06  1.8639340477184705e-03 -6.1882644482844952e-04  0.0000000000000000e+00 -1.0865763750140776e-01
 119  2.6488850976628351e-04 -3.1507207805433725e-04 -1.5670834114767614e-03 -1.1837072133578221e-03  0.0000000000000000e+00 -1.1396300405874642e-01
 120  4.1387671626969235e-04  2.5719582423246130e-04  1.7493778718863721e-05  1.9004936211458813e-03  0.0000000000000000e+00 -1.1381478482171202e-01
 121 -1.5623533642790228e-04  1.0841040616448498e-04  1.6329769775066767e-03 -1.1199954093148933e-03  0.0000000000000000e+00 -1.0965927479617489e-01
 122  1.1813198449138440e-04 -3.3127631797761427e-04 -1.8131026804989912e-03 -7.0094771978510668e-04  0.0000000000000000e+00 -1.1694142313156830e-01
 123  4.5947374094727062e-04  1.7832091217472729e-04  5.9981969728301575e-04  1.8428695445190440e-03  0.0000000000000000e+00 -1.1758361872665825e-01
 124 -6.5215638617209141e-05  1.9371893403263531e-04  1.2701011331088851e-03 -1.5252723965055652e-03  0.0000000000000000e+00 -1.1214153403062714e-01
 125  2.6555747173714503e-05 -3.3521279642436731e-04 -1.9504596477524956e-03 -1.5887507625249325e-04  0.0000000000000000e+00 -1.1889593913649804e-01
 126  4.6713437142956524e-04  1.3571038461069509e-04  1.1248567680666932e-03  1.6704993514475492e-03  0.0000000000000000e+00 -1.2080248235756313e-01
 127 -5.8909944959431628e-06  2.2618731988300269e-04  8.0712510403371839e-04 -1.8029035933577980e-03  0.0000000000000000e+00 -1.1591233114794895e-01
 128  1.8621459124080263e-05 -3.2535529469617647e-04 -1.9762020631162737e-03  3.8506223165018751e-04  0.0000000000000000e+00 -1.1992796173854389e-01
 129  4.2100377960947342e-04  1.2430848945757446e-04  1.5365207259595975e-03  1.3804588888732738e-03  0.0000000000000000e+00 -1.2346077033136496e-01
 130  2.3614229845092467e-05  2.0334471642838222e-04  2.8058891037597108e-04 -1.9397070851032460e-03  0.0000000000000000e+00 -1.2055752532090255e-01
 131  7.2461877754185223e-05 -2.9683562643411580e-04 -1.8712428942553780e-03  8.8237453794235798e-04  0.0000000000000000e+00 -1.2070193031075531e-01
 132  3.3513745242431080e-04  1.2138891952235715e-04  1.8089457235322601e-03  9.7985087960162243e-04  0.0000000000000000e+00 -1.2548772760932053e-01
 133  4.0945814415434751e-05  1.5623107990604698e-04 -2.7171024779878327e-04 -1.9419427619657365e-03  0.0000000000000000e+00 -1.2543504949604981e-01
 134  1.3741276427179917e-04 -2.5677073366285402e-04 -1.6198095929943130e-03  1.3018447961981798e-03  0.0000000000000000e+00 -1.2203130085238584e-01
 135  2.5549578334876477e-04  1.0851592168447314e-04  1.9474558132857253e-03  4.8960207867255134e-04  0.0000000000000000e+00 -1.2701992785969199e-01
 136  4.9314377863909754e-05  1.3020851727904358e-04 -8.1028476841244043e-04 -1.8179147397562460e-03  0.0000000000000000e+00 -1.2981420793021969e-01
 137  1.7171199175531924e-04 -2.2976505762117177e-04 -1.2288913177200993e-03  1.6239516811286108e-03  0.0000000000000000e+00 -1.2437316291505633e-01
 138  2.3530910647625458e-04  8.3258462706556035e-05  1.9737307675771576e-03 -5.2911934704606963e-05  0.0000000000000000e+00 -1.2846960501135765e-01
 139  3.1981745533126436e-05  1.5281097859513100e-04 -1.2891843060727770e-03 -1.5716078733890597e-03  0.0000000000000000e+00 -1.3320877875014778e-01
 140  1.6435291133776395e-04 -2.4280876550227814e-04 -7.3239051367890331e-04  1.8363118849999158e-03  0.0000000000000000e+00 -1.2782072524063393e-01
 141  2.9755328083795661e-04  5.5140309164315246e-05  1.9012147879193088e-03 -5.9370829735237870e-04  0.0000000000000000e+00 -1.3021757944647477e-01
 142 -2.2431736241223991e-05  2.1774353202895258e-04 -1.6616281956602801e-03 -1.2132257010235546e-03  0.0000000000000000e+00 -1.3543684139547008e-01
 143  1.3238831868311532e-04 -3.0077061608071342e-04 -1.8206384923774420e-04  1.9338463244064988e-03  0.0000000000000000e+00 -1.3228679493329601e-01
 144  4.1507269434133540e-04  3.3229081755827649e-05  1.7202985767478772e-03 -1.0770341489864910e-03  0.0000000000000000e+00 -1.3249988019709502e-01
 145 -9.7066786777534082e-05  2.9682659758239712e-04 -1.8931232246924290e-03 -7.6242442360393355e-04  0.0000000000000000e+00 -1.3656136488253334e-01
 146  9.2279394142439283e-05 -3.7533215690962893e-04  3.6957486785379844e-04  1.9095599517209485e-03  0.0000000000000000e+00 -1.3737498674081808e-01
 147  5.3306293818522433e-04  1.6193016776345696e-05  1.4105759524695939e-03 -1.4614321579179395e-03  0.0000000000000000e+00 -1.3539517737518900e-01
 148 -1.4921238369516895e-04  3.6488948445730611e-04 -1.9716381217131460e-03 -2.4424986324644192e-04  0.0000000000000000e+00 -1.3712683571733067e-01
 149  3.6738753163159585e-05 -4.2213986601227245e-04  8.7990824072580538e-04  1.7469012490829599e-03  0.0000000000000000e+00 -1.4240766066448185e-01
 150  6.0689145698469924e-04 -8.9329581752234484e-06  9.6605658250935571e-04 -1.7235843398432629e-03  0.0000000000000000e+00 -1.3871590716241988e-01
 151 -1.3430222383012158e-04  4.1457323742248001e-04 -1.9084151613803526e-03  3.0695190836507708e-04  0.0000000000000000e+00 -1.3810685537693088e-01
 152 -5.0441339582838541e-05 -4.1308615366046126e-04  1.3158266013397250e-03  1.4366637692695295e-03  0.0000000000000000e+00 -1.4674673413238301e-01
 153  6.2503210791294808e-04 -5.6198420284399750e-05  4.1388493565817339e-04 -1.8598661135312742e-03  0.0000000000000000e+00 -1.4219903705037296e-01
 154 -4.1997229147446309e-05  4.4770971664552571e-04 -1.7232807717554586e-03  8.4297004139303729e-04  0.0000000000000000e+00 -1.4028292371191897e-01
 155 -1.6055585610693875e-04 -3.5243857826646325e-04  1.6526080566146299e-03  9.9785040633069782e-04  0.0000000000000000e+00 -1.4988616626704071e-01
 156  6.0075949445132415e-04 -1.2385510807843113e-04 -1.8547835611484759e-04 -1.8792086875653766e-03  0.0000000000000000e+00 -1.4578961647853814e-01
 157  9.1698566810492099e-05  4.5759842056380235e-04 -1.4276008785851237e-03  1.3084866089680576e-03  0.0000000000000000e+00 -1.4372235514655241e-01
 158 -2.5198938580297896e-04 -2.6230562907629442e-04  1.8692879113830789e-03  4.7145809943355412e-04  0.0000000000000000e+00 -1.5145639023700949e-01
 159  5.3990322782251064e-04 -1.9255490342572461e-04 -7.5725329472307033e-04 -1.7782755986727938e-03  0.0000000000000000e+00 -1.4951466266294922e-01
 160  2.1674445421709874e-04  4.2934340681829753e-04 -1.0234634997335747e-03  1.6533344262978584e-03  0.0000000000000000e+00 -1.4793840815073989e-01
 161 -2.7882137073759086e-04 -1.5902061927964615e-04  1.9453071251402160e-03 -9.3470051440882300e-05  0.0000000000000000e+00 -1.5171913280869490e-01
 162  4.3321452100970973e-04 -2.4445550825669620e-04 -1.2372299038402345e-03 -1.5396132232012923e-03  0.0000000000000000e+00 -1.5327832159396862e-01
 163  3.0851392523207873e-04  3.5846991236841859e-04 -5.1991160050716555e-04  1.8499716040978769e-03  0.0000000000000000e+00 -1.5242612080060994e-01
 164 -2.2998967578211578e-04 -4.7532392508152016e-05  1.8662346032981612e-03 -6.4594728381053086e-04  0.0000000000000000e+00 -1.5176557675454780e-01
 165  2.8691200346209450e-04 -2.7589649302764841e-04 -1.5941452360619345e-03 -1.1628673225159514e-03  0.0000000000000000e+00 -1.5679816605976171e-01
 166  3.7351468320506005e-04  2.6557796126272282e-04  4.9521624628719288e-05  1.9057975081308665e-03  0.0000000000000000e+00 -1.5677264244710210e-01
 167 -1.3827965413962034e-04  6.2410612578656387e-05  1.6334722393531575e-03 -1.1402280268509449e-03  0.0000000000000000e+00 -1.5277229788119026e-01
 168  1.4194822190704109e-04 -2.9247497297114037e-04 -1.8301310901323990e-03 -6.7804862281697778e-04  0.0000000000000000e+00 -1.5964893766975666e-01
 169  4.1766317307108202e-04  1.8686760478394096e-04  6.2750809190620371e-04  1.8412064839322792e-03  0.0000000000000000e+00 -1.6062212576221865e-01
 170 -5.0969858755148385e-05  1.4608161452589160e-04  1.2673504357614347e-03 -1.5381146496679899e-03  0.0000000000000000e+00 -1.5519687508647581e-01
 171  5.3350331496426381e-05 -2.9908769642452592e-04 -1.9570545771712385e-03 -1.3503083721666008e-04  0.0000000000000000e+00 -1.6151841365161160e-01
 172  4.2523544357842035e-04  1.4616772283641670e-04  1.1474712758609564e-03  1.6616846339978092e-03  0.0000000000000000e+00 -1.6383894644480040e-01
 173  3.5020527511317671e-06  1.7777359336301028e-04  8.0016333514412860e-04 -1.8095657141421525e-03  0.0000000000000000e+00 -1.5887731457423238e-01
 174  4.8854009249522863e-05 -2.9312482883658982e-04 -1.9733864716896541e-03  4.0891445987385007e-04  0.0000000000000000e+00 -1.6254260706318535e-01
 175  3.8031520805269903e-04  1.3828913831105983e-04  1.5542900337610554e-03  1.3652114611724987e-03  0.0000000000000000e+00 -1.6640862992581359e-01
 176  2.8530202161748069e-05  1.5522044908936842e-04  2.6997475586562191e-04 -1.9422619730509617e-03  0.0000000000000000e+00 -1.6342829159014760e-01
